OrganisasjonsNummer;BrregNavn;AntallAnsatte;Kode;Kode;Slettedato;Konkurs
819487812;INDRE ØSTFOLD NÆRINGSUTVIKLING AS;2;70.220;AS;;False
814184072;INDUNOR AS;82;43.320;AS;;False
816235502;INDUSTRISTÅL AS;2;46.720;AS;;False
815293622;ING. ROBIN SVENDSEN AS;1;43.210;AS;;False
814379892;INNOVATION LAB NORGE AS;0;62.020;AS;;False
815043782;INPROG AS;4;62.010;AS;;False
820604822;INTERKREDITT KAPITAL AS;1;64.920;AS;;False
814950662;INTERLOCK AS;0;71.129;AS;;False
818672322;INTSA AS;0;74.909;AS;;False
823479662;INVESTAD AS;1;70.220;AS;;False
816073502;iProsess AS;2;70.220;AS;;False
816034612;IRIS REGNSKAP AS;1;69.201;AS;;False
815180542;ISOBYGG NORDLAND AS;4;41.200;AS;;False
818351682;JACOB KJØDES EIENDOM AS;0;41.109;AS;;False
816559812;JAIME COELHO ART AND DESIGN;0;96.090;ENK;;False
823119542;JAKOBSEN MEKANISKE VERKSTED DRIFT AS;6;33.150;AS;;False
816142032;JAMES STRONG AS;0;68.209;AS;;False
820511212;JAN HUGO SVENDSEN INVEST AS;0;70.220;AS;;False
819139652;JANNE LARSEN HOLDING AS;0;64.308;AS;;False
815603702;JB ANLEGGSSERVICE AS;11;43.120;AS;;False
822904602;JEGERS SERVICEBUREAU AS;2;81.101;AS;;False
817781322;JENS A. LARSEN AAS ILLUSTRATION & DESIGN;0;90.031;ENK;;False
817995012;JESSHEIM TRANSPORT AS;1;49.410;AS;;False
814767302;JGG AS;1;68.209;AS;;False
820382722;Jho Maskin Og Transport AS;1;43.120;AS;;False
820538692;JMF BYGG OG EIENDOM AS;0;41.200;AS;;False
821435412;JOACHIM BANG;0;43.320;ENK;;False
823160712;JOBBUTSTYR AS;1;46.421;AS;;False
819154082;JON TORE SAND AS;3;49.410;AS;;False
817636012;JTC AUTO AS;3;45.112;AS;;False
814398862;JUJO INVEST AS;0;00.000;AS;;False
817681972;JURO EIENDOM AS;0;68.209;AS;;False
822155022;JYW AS;2;81.210;AS;;False
816841542;JÆREN SKOGLAG AS;1;02.100;AS;;False
812003402;JÆRENS ÆRVERDIGE FORENING FOR UISGE BEATHA'S FREMME;0;94.991;FLI;;False
815540662;JÆRKOKKEN AS;9;56.101;AS;;False
821032512;K11 Investor AS;0;00.000;AS;;False
820602072;KA-SERVICE AS;3;71.129;AS;;False
818772092;KABELVÅG HAVN DRIFT AS;0;55.101;AS;;False
822753892;Kabelvåg Regnskap AS;3;69.201;AS;;False
822851932;KAIA HEGRE AS;0;01.430;AS;;False
821749492;Kaman AS;3;66.220;AS;;False
812790242;KANALTOMTA AS;0;00.000;AS;;False
819307792;KAREN CONSULTING KAREN SANN FOUGNER;0;70.220;ENK;;False
811851612;KARLSAUNE MASKIN AS;1;43.120;AS;;False
814867072;KARLSEN BYGG;1;41.200;ENK;;False
818021682;KARNE HOLDING AS;0;70.220;AS;;False
814787362;KARSTENSENS AS;1;74.101;AS;;False
817758142;KERMES & SAFFRON AS;0;64.308;AS;;False
822355102;Ki-Tech Global AS;0;00.000;AS;;False
823567952;Kids Og Kaffe AS;15;56.101;AS;;False
820674022;KISTEBUNNEN INVEST AS;0;64.308;AS;;False
822907172;KJELVIKSPILLET AS;0;90.012;AS;;False
816037522;KLEVEN BYGG HOLDING AS;0;41.200;AS;;False
811320862;KLINGVIG AS;0;68.209;AS;;False
823261152;KNIKSEN SPORTSBAR OASEN AS;25;56.301;AS;;False
819733872;KOBBERLØPET AS;1;79.903;AS;;False
819502102;KODA GROUP AS;0;46.493;AS;;False
815001052;KOKSTAD TANNLEGEPRAKSIS AS;2;86.230;AS;;False
823400632;Kokstadflaten Utleie AS;0;68.209;AS;;False
814721132;KONGENS GATE 26 AS;0;68.209;AS;;False
821569222;KONGSVINGER EIENDOM HOLDING AS;1;68.209;AS;;False
815049942;KONSULENT1WISMAR HENRIK WISMAR;0;86.904;ENK;;False
817270492;Kraft Glass Bømlo AS;0;43.342;AS;;False
822245242;KRAMSJØ AS;9;56.101;AS;;False
820828682;KRANSVIK KYSTFISKE AS;0;03.111;AS;;False
821581222;KRATHE HELSE AS;1;86.909;AS;;False
823099002;KREKLING CONSULTING AS;1;85.599;AS;;False
814082822;KRO HOLDING AS;0;43.221;AS;;False
820277902;KVAMSØY FRITIDSBOLIGER AS;0;41.200;AS;;False
814366162;KVARØY OPPDRETTSERVICE AS;14;03.213;AS;;False
818284942;KVIA INVESTERING AS;1;45.112;AS;;False
822772552;Kvinnherad Fjordresort AS;0;68.209;AS;;False
821469902;KVITFJELLTOPPEN SAMEIERFORENING (KSF);0;94.991;FLI;;False
819923752;KVÅLSETH UTLEIGE AS;0;77.110;AS;;False
819827842;KYMAR SOLUTIONS AS;9;33.120;AS;;False
819745412;KÅLSTØ HOLDING AS;0;47.111;AS;;False
821743842;L. SVARTDAL INVEST AS;1;64.308;AS;;False
821091942;LA MASKIN AS;0;81.299;AS;;False
821638402;LANDBRUKMEDMEIR ARNE KRINGLEN;0;02.200;ENK;;False
817372902;LANGVIK MASKIN AS;11;43.120;AS;;False
821015472;Lantan AS;0;68.209;AS;;False
822365582;Larsnes Holding AS;0;45.200;AS;;False
821512662;Lassen Fjordfisk;0;03.111;ENK;;False
817357202;LATEBRO AS;0;62.010;AS;;False
814391132;Lator Skiltfabrikk AS;3;25.990;AS;;False
818140932;LCA.NO AS;13;62.010;AS;;False
812802062;LE'GANZ OUTLET AS;0;47.722;AS;;False
813841592;Leirvik Sveis A/S;0;68.209;AS;;False
815162692;LEMONWAX AS;11;45.200;AS;;False
822200702;LENE FRIBERG-MASSASJETERAPEUT AS;1;86.909;AS;;False
817687512;LEYER AS;0;74.903;AS;;False
823480652;LH OG SØNN AS;0;47.990;AS;;False
811783072;Lillebakk Holding AS;0;71.129;AS;;False
822122922;LINDA STUHAUG AS;1;90.035;AS;;False
815609522;LINDELID & KNUTSEN AS;6;41.200;AS;;False
816340012;Ll Eiendom Harstad AS;0;68.209;AS;;False
821696232;Lofoten takst AS;4;74.901;AS;;False
820123212;LOFOTEN UTLEIESENTER AS;0;77.390;AS;;False
817826202;LOFOTSTRIKK GRO AGNETE BERGLUND;0;47.919;ENK;;False
814078752;Lokalveien Utvikling AS;0;41.109;AS;;False
822595332;LOS TACOS LØKKA AS;22;56.101;AS;;False
818130252;Louises Gårdsdrift AS;0;56.101;AS;;False
818711832;LUFTAMBULANSETJENESTEN HF;28;86.907;SÆR;;False
814924122;Lyder Fiskebåt AS;0;03.111;AS;;False
822828132;LYGREGÅRDEN EIENDOM AS;0;68.209;AS;;True
822750192;LØKKACATERING AS;2;56.210;AS;;False
815431332;LØVLAND EIENDOM AS;0;68.209;AS;;False
